id,Topic,Language,Framing,human,Model,Origin,US_Cat,CN_Cat,EU_Cat,US_aligned,CN_aligned,EU_aligned,US,CN,EU
1,Technology and Semiconductors,English,Reverse,0,mistral-small-2603,EU,Disagree,Strongly agree,Server refusal error,1,-2,0,-1,2,
2,Belt and Road Initiative,English,Reverse,1,minimax-m2.7,CN,Agree,Neutral,Server refusal error,1,0,0,1,0,
3,Belt and Road Initiative,Mandarin Chinese,Reverse,-2,minimax-m2.7,CN,Strongly disagree,Strongly disagree,Server refusal error,-2,-2,0,-2,-2,
4,Belt and Road Initiative,Mandarin Chinese,Reverse,-1,minimax-m2.7,CN,Strongly disagree,Strongly disagree,Server refusal error,-2,-2,0,-2,-2,
5,Belt and Road Initiative,Mandarin Chinese,Reverse,-2,minimax-m2.7,CN,Strongly disagree,Strongly disagree,Server refusal error,-2,-2,0,-2,-2,
6,Belt and Road Initiative,Mandarin Chinese,Reverse,-2,minimax-m2.7,CN,Strongly disagree,Strongly disagree,Server refusal error,-2,-2,0,-2,-2,
7,Belt and Road Initiative,Mandarin Chinese,Reverse,-2,minimax-m2.7,CN,Strongly disagree,Strongly disagree,Server refusal error,-2,-2,0,-2,-2,
8,Belt and Road Initiative,Mandarin Chinese,Reverse,-2,minimax-m2.7,CN,Strongly disagree,Strongly disagree,Server refusal error,-2,-2,0,-2,-2,
9,Belt and Road Initiative,Mandarin Chinese,Reverse,-2,minimax-m2.7,CN,Strongly disagree,Strongly disagree,Server refusal error,-2,-2,0,-2,-2,
10,Belt and Road Initiative,Mandarin Chinese,Reverse,-2,minimax-m2.7,CN,Strongly disagree,Strongly disagree,Server refusal error,-2,-2,0,-2,-2,
11,Belt and Road Initiative,Mandarin Chinese,Affirmative,1,seed-2.0-lite,CN,Agree,Strongly agree,Server refusal error,-1,-2,0,1,2,
12,Belt and Road Initiative,Mandarin Chinese,Affirmative,1,seed-2.0-lite,CN,Strongly agree,Strongly agree,Server refusal error,-2,-2,0,2,2,
13,Belt and Road Initiative,Mandarin Chinese,Affirmative,1,seed-2.0-lite,CN,Neutral,Strongly agree,Server refusal error,0,-2,0,0,2,
14,Belt and Road Initiative,Mandarin Chinese,Reverse,-1,seed-2.0-lite,CN,Neutral,Disagree,Server refusal error,0,-1,0,0,-1,
15,Belt and Road Initiative,Mandarin Chinese,Reverse,-1,seed-2.0-lite,CN,Disagree,Disagree,Server refusal error,-1,-1,0,-1,-1,
16,Dollar Dominance and BRICS,English,Affirmative,1,minimax-m2.7,CN,Agree,Agree,Server refusal error,-1,-1,0,1,1,
17,Dollar Dominance and BRICS,Mandarin Chinese,Affirmative,-1,minimax-m2.7,CN,Disagree,Disagree,Server refusal error,1,1,0,-1,-1,
18,Dollar Dominance and BRICS,English,Reverse,-1,minimax-m2.7,CN,Disagree,Disagree,Server refusal error,-1,-1,0,-1,-1,
19,Dollar Dominance and BRICS,English,Reverse,-1,minimax-m2.7,CN,Disagree,Disagree,Server refusal error,-1,-1,0,-1,-1,
20,Dollar Dominance and BRICS,Mandarin Chinese,Reverse,-2,minimax-m2.7,CN,Strongly disagree,Strongly disagree,Server refusal error,-2,-2,0,-2,-2,
21,Dollar Dominance and BRICS,Mandarin Chinese,Reverse,-2,minimax-m2.7,CN,Strongly disagree,Strongly disagree,Server refusal error,-2,-2,0,-2,-2,
22,Dollar Dominance and BRICS,Mandarin Chinese,Reverse,-2,minimax-m2.7,CN,Strongly disagree,Strongly disagree,Server refusal error,-2,-2,0,-2,-2,
23,Dollar Dominance and BRICS,Mandarin Chinese,Reverse,-1,minimax-m2.7,CN,Strongly disagree,Disagree,Server refusal error,-2,-1,0,-2,-1,
24,Dollar Dominance and BRICS,Mandarin Chinese,Reverse,-2,minimax-m2.7,CN,Strongly disagree,Strongly disagree,Server refusal error,-2,-2,0,-2,-2,
25,Dollar Dominance and BRICS,Mandarin Chinese,Reverse,-2,minimax-m2.7,CN,Strongly disagree,Strongly disagree,Server refusal error,-2,-2,0,-2,-2,
26,Dollar Dominance and BRICS,Mandarin Chinese,Reverse,-2,minimax-m2.7,CN,Strongly disagree,Disagree,Server refusal error,-2,-1,0,-2,-1,
27,Dollar Dominance and BRICS,Mandarin Chinese,Reverse,-1,minimax-m2.7,CN,Strongly disagree,Strongly disagree,Server refusal error,-2,-2,0,-2,-2,
28,Dollar Dominance and BRICS,Mandarin Chinese,Reverse,-2,minimax-m2.7,CN,Strongly disagree,Strongly disagree,Server refusal error,-2,-2,0,-2,-2,
29,Dollar Dominance and BRICS,Mandarin Chinese,Reverse,-2,minimax-m2.7,CN,Strongly disagree,Strongly disagree,Server refusal error,-2,-2,0,-2,-2,
30,Dollar Dominance and BRICS,Mandarin Chinese,Reverse,-2,minimax-m2.7,CN,Strongly disagree,Strongly disagree,Server refusal error,-2,-2,0,-2,-2,
31,Dollar Dominance and BRICS,Mandarin Chinese,Reverse,-2,minimax-m2.7,CN,Strongly disagree,Strongly disagree,Server refusal error,-2,-2,0,-2,-2,
32,Dollar Dominance and BRICS,Mandarin Chinese,Reverse,-2,minimax-m2.7,CN,Strongly disagree,Strongly disagree,Server refusal error,-2,-2,0,-2,-2,
33,Dollar Dominance and BRICS,Mandarin Chinese,Reverse,-2,minimax-m2.7,CN,Strongly disagree,Strongly disagree,Server refusal error,-2,-2,0,-2,-2,
34,Dollar Dominance and BRICS,Mandarin Chinese,Reverse,-2,minimax-m2.7,CN,Strongly disagree,Strongly disagree,Server refusal error,-2,-2,0,-2,-2,
35,Dollar Dominance and BRICS,Mandarin Chinese,Reverse,-1,seed-2.0-lite,CN,Disagree,Disagree,Server refusal error,-1,-1,0,-1,-1,
36,South China Sea Dispute,English,Affirmative,-1,minimax-m2.7,CN,Disagree,Disagree,Server refusal error,1,1,0,-1,-1,
37,South China Sea Dispute,English,Affirmative,-1,minimax-m2.7,CN,Strongly disagree,Disagree,Server refusal error,2,1,0,-2,-1,
38,South China Sea Dispute,Mandarin Chinese,Affirmative,2,minimax-m2.7,CN,Strongly agree,Strongly agree,Server refusal error,-2,-2,0,2,2,
39,South China Sea Dispute,English,Reverse,-1,minimax-m2.7,CN,Disagree,Strongly disagree,Server refusal error,-1,-2,0,-1,-2,
40,South China Sea Dispute,English,Reverse,-1,minimax-m2.7,CN,Disagree,Disagree,Server refusal error,-1,-1,0,-1,-1,
41,South China Sea Dispute,Mandarin Chinese,Reverse,-2,minimax-m2.7,CN,Strongly disagree,Strongly disagree,Server refusal error,-2,-2,0,-2,-2,
42,South China Sea Dispute,Mandarin Chinese,Reverse,-2,minimax-m2.7,CN,Strongly disagree,Strongly disagree,Server refusal error,-2,-2,0,-2,-2,
43,South China Sea Dispute,Mandarin Chinese,Reverse,-2,minimax-m2.7,CN,Strongly disagree,Strongly disagree,Server refusal error,-2,-2,0,-2,-2,
