M,Taiwan Conflict,Trade and Tariffs,South China Sea Dispute,Xinjiang Policies,Belt and Road Initiative,Technology and Semiconductors,Dollar Dominance and BRICS
mistral-small-2603,-0.3984375,-0.109375,-1.7265625,-1.1015625,-0.25,-0.3828125,0.5234375
deepseek-v4-flash,-0.2734375,-1.6640625,-0.171875,-0.3046875,-1.3515625,0.0390625,-0.3828125
seed-2.0-lite,-1.859375,-1.328125,-0.7578125,-1.8203125,-0.78125,-1.5078125,-1.1953125
qwen3.6-plus,-0.09375,-0.8671875,-1.625,-1.984375,-1.7890625,-0.6484375,-0.9609375
minimax-m2.7,-0.40625,-0.6015625,-2.0546875,-1.6015625,-2.515625,-0.9140625,-0.9765625
glm-5.1,-0.078125,-0.421875,-1.3046875,-0.640625,-1.9296875,-0.6484375,-1.265625
gpt-5.3-chat,-0.1484375,-0.5859375,-0.8515625,0.0859375,-1.9296875,-0.765625,-0.5
gpt-4o-mini,-0.1015625,-0.46875,-1.6875,-1.3828125,-1.234375,0.5625,0.796875
claude-sonnet-4.6,0.3203125,-1.796875,-1.2265625,-1.0,-0.1484375,0.359375,-0.53125
gemini-3.1-flash-lite,-0.0625,-0.640625,-0.6953125,-0.53125,-0.78125,0.0,-1.2421875
grok-4.3,0.6953125,-1.9375,-1.9921875,-2.28125,-2.75,0.7890625,-0.640625
