Topic,pole,Origin,Model,mu,sd,d,mu_aff,mu_rev,mu_en,mu_zh,ref,neu
Taiwan Conflict,US,EU,mistral-small-2603,0.45,1.56,0.29,1.54,-0.64,0.65,0.25,0.0,0.0
Taiwan Conflict,US,CN,deepseek-v4-flash,-1.77,0.54,-3.3,-1.67,-1.87,-1.63,-1.91,0.0,0.8
Taiwan Conflict,US,CN,seed-2.0-lite,-0.91,1.01,-0.9,-0.97,-0.86,0.02,-1.84,0.0,53.5
Taiwan Conflict,US,CN,qwen3.6-plus,-0.05,1.16,-0.04,-1.16,1.07,0.0,-0.09,0.0,0.0
Taiwan Conflict,US,CN,minimax-m2.7,-0.62,1.39,-0.45,-1.16,-0.09,-0.42,-0.83,2.7,9.8
Taiwan Conflict,US,CN,glm-5.1,-0.03,1.11,-0.03,-1.06,1.0,0.01,-0.07,0.8,4.7
Taiwan Conflict,US,US,gpt-5.3-chat,0.55,1.1,0.5,0.36,0.74,0.62,0.48,0.0,1.6
Taiwan Conflict,US,US,gpt-4o-mini,0.96,1.13,0.85,1.52,0.41,1.02,0.91,0.0,0.0
Taiwan Conflict,US,US,claude-sonnet-4.6,1.1,0.73,1.5,1.18,1.02,0.94,1.26,0.0,0.0
Taiwan Conflict,US,US,gemini-3.1-flash-lite,0.12,1.18,0.11,-0.8,1.05,0.16,0.09,0.4,1.6
Taiwan Conflict,US,US,grok-4.3,1.36,0.61,2.22,1.5,1.21,1.01,1.7,0.0,0.0
Trade and Tariffs,US,EU,mistral-small-2603,0.05,1.7,0.03,1.62,-1.51,0.11,0.0,0.0,0.0
Trade and Tariffs,US,CN,deepseek-v4-flash,-0.68,1.56,-0.44,0.24,-1.61,0.15,-1.52,0.0,0.0
Trade and Tariffs,US,CN,seed-2.0-lite,-1.17,0.94,-1.25,-0.82,-1.52,-0.51,-1.84,0.0,27.3
Trade and Tariffs,US,CN,qwen3.6-plus,-0.81,1.05,-0.77,-1.09,-0.52,-0.38,-1.24,0.0,0.0
Trade and Tariffs,US,CN,minimax-m2.7,-0.93,1.14,-0.81,-1.18,-0.67,-0.62,-1.23,3.9,5.5
Trade and Tariffs,US,CN,glm-5.1,-0.25,1.2,-0.21,-1.02,0.52,-0.04,-0.46,0.0,1.2
Trade and Tariffs,US,US,gpt-5.3-chat,-1.25,0.55,-2.26,-1.02,-1.47,-0.95,-1.54,0.0,0.0
Trade and Tariffs,US,US,gpt-4o-mini,0.23,1.57,0.15,1.5,-1.03,0.47,0.0,0.0,0.0
